Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
Upwind,BOR07,90/0/90/0/90/0,EP,UNK,UNK,,,,,,,4.515,1.0,19.66,144.64,35.2975,88.7649,-41.0071999179856,-410.071999179856,,,10.0,6.0,,,41.0,41.0,,,2788.0,3.445292769425972
Upwind,BPR07,90/0/90/0/90/0,EP,UNK,UNK,,,,,,,4.375,1.0,19.96,144.22,35.1825,87.325,-46.7220154594904,-467.220154594904,,,10.0,3.0,,,46.7,46.7,,,16350.0,4.213517756996305
Upwind,BSR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.995,1.0,20.18,132.77,20.1725,60.4391,198.546967112349,-198.546967112349,,,-1.0,3.0,878.7661146966805,-555.875274667783,35.465,35.465,,,1961631.0,6.292617316124699
Upwind,BTR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.87,1.0,19.76,128.55,20.3425,56.7112,264.498018028185,-105.799207211274,,,-0.4,6.0,917.7230905646196,-574.9748473350155,38.38875,38.38875,,,1204389.0,6.080766780333651
Upwind,BUR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.94,1.0,20.0,129.89,20.27,58.8,680.272108843537,612.2448979591833,,,0.9,2.0,919.4144786933016,-512.9198186340291,40.01525,40.01525,,,61022.0,4.785486437569411
Upwind,BVR08,90/0/90/0,EP,UNK,UNK,,,,,,,3.025,1.0,19.93,130.01,20.3175,60.28825,155.917612470092,-389.79403117523,,,-2.5,3.0,888.5832514371501,-487.6121750964292,36.41,36.41,,,4877.0,3.688152755591566
Upwind,BWR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.91,1.0,19.84,129.85,21.055,57.7344,692.827846136792,623.5450615231128,,,0.9,2.0,938.9903114604094,-425.472484557018,37.6675,37.6675,,,11060.0,4.043755126968679
Upwind,BXR08,90/0/0/90,EP,UNK,UNK,,,,,,,2.995,1.0,20.09,130.0,21.3375,60.16955,179.49278330983,-448.731958274575,,,-2.5,2.0,913.1612122985168,-496.7470260716611,40.14675,40.14675,,,874.0,2.941511432634403
Upwind,BYR08,90/0/0/90,EP,UNK,UNK,,,,,,,2.995,1.0,19.95,130.06,20.2875,59.75025,65.2716934238769,-65.2716934238769,,,-1.0,1.0,87.83143512805223,-152.1540095072095,12.299,12.299,,,813.0,2.910090545594068
Upwind,BZR08,90/0/0/90,EP,UNK,UNK,,,,,,,2.855,1.0,19.8,129.6,20.585,56.529,58.3771161704612,-58.3771161704612,,,-1.0,1.0,94.543954343865,-143.2012491628077,13.1043333333333,13.1043333333333,,,7161.0,3.854973673726417
SNL/MSU/DOE,Biax-CH-UP2[(±45)3]S,45/-45/45/-45/45/-45/-45/45/-45/45/-45/45,PE,UNK,UNK,47.0,,0.0,100.0,0.0,0.0,3.86,,25.0,,,,103.0,10.3,0.97,0.097,0.1,2.0,143.25,-177.75,13.9,,1.45,-1.31,3591.0,3.555215405126073
SNL/MSU/DOE,Biax-CH10-UP2[(±45)3]S,45/-45/45/-45/45/-45/-45/45/-45/45/-45/45,PE,UNK,UNK,32.0,,0.0,100.0,0.0,0.0,5.56,,25.0,,,,69.0,6.9,1.16,0.116,0.1,4.0,120.6666666666667,-163.0,7.566666666666666,,7.236666666666667,-2.01,4432.0,3.646599751720373
SNL/MSU/DOE,Biax-CH11-UP2[(±45)2]S,45/-45/45/-45/-45/45/-45/45,PE,UNK,UNK,50.0,,0.0,100.0,0.0,0.0,2.41,,25.0,,,,86.0,8.6,0.98,0.098,0.1,4.0,134.3333333333333,-188.6666666666667,13.0,,6.466666666666666,-1.4,861.0,2.935003151453655
SNL/MSU/DOE,Biax-CH12-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,33.0,,39.0,61.0,0.0,0.0,3.0,,25.0,,,,276.0,27.6,1.94,0.194,0.1,2.0,356.0,-389.0416666666667,16.6,,6.066666666666667,,2415.0,3.382917135087531
SNL/MSU/DOE,Biax-CH13-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,51.0,,24.0,76.0,0.0,0.0,3.28,,25.0,,,,276.0,27.6,1.68,0.168,0.1,2.0,422.6666666666667,-384.6666666666667,22.93333333333334,,2.81,,449.0,2.652246341003323
SNL/MSU/DOE,Biax-CH14-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,39.0,,39.0,61.0,0.0,0.0,2.49,,25.0,,,,345.0,34.5,2.05,0.205,0.1,1.0,517.0,-412.0,22.26666666666667,,3.386666666666667,,283.0,2.45178643552429
SNL/MSU/DOE,Biax-CH15-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,32.0,,28.0,61.0,0.0,0.0,2.49,,25.0,,,,-24.1,-241.0,,,10.0,2.0,310.3333333333333,-345.6666666666667,14.83333333333333,,3.62,,996.0,2.998259338423699
SNL/MSU/DOE,Biax-CH16-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,34.0,,28.0,61.0,0.0,0.0,2.36,,25.0,,,,-24.1,-241.0,,,10.0,1.0,360.3333333333333,-309.0,18.26666666666667,,2.89,,371.0,2.569373909615046
SNL/MSU/DOE,Biax-CH17-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,42.0,,28.0,61.0,0.0,0.0,1.96,,25.0,,,,-24.1,-241.0,,,10.0,2.0,359.0,-301.3333333333333,17.26666666666667,,3.58,,822.0,2.914871817540051
SNL/MSU/DOE,Biax-CH18-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,45.0,,16.0,84.0,0.0,0.0,3.1,,25.0,,,,-24.1,-241.0,,,10.0,1.0,294.3333333333333,-297.6666666666667,16.16666666666667,,3.106666666666667,,120.0,2.079181246047625
SNL/MSU/DOE,Biax-CH19-UP2[±45/0/±45]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,33.0,,16.0,84.0,0.0,0.0,4.6,,25.0,,,,-17.2,-172.0,,,10.0,1.0,193.0,-251.3333333333333,11.36666666666667,,3.866666666666667,,167.0,2.222716471147583
SNL/MSU/DOE,Biax-CH2-UP2[(±45/0/±45)]S,45/-45/0/45/-45/-45/45/0/-45/45,PE,UNK,UNK,44.0,,24.0,76.0,0.0,0.0,3.78,,25.0,,,,241.0,24.1,1.8,0.18,0.1,2.0,364.0,-341.6666666666667,16.9,,2.3075,,396.0,2.597695185925512
SNL/MSU/DOE,Biax-CH20-UP2[(±45)3]S,45/-45/45/-45/45/-45/-45/45/-45/45/-45/45,PE,UNK,UNK,26.0,,0.0,92.0,0.0,8.0,3.76,,25.0,,,,52.0,5.2,0.52,0.052,0.1,12.0,133.6666666666667,-229.6666666666667,10.56666666666667,,1.566666666666667,,136994.0,5.136701546543606
