Material_Code,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure),Data source,Sequence,Resin Type
174R0400MD2,54.96,,,,,,6.4191666666666665,2.0,24.988333333333333,150.0,40.0,160.35134166666668,270.5358090411167,4.063364625607401,0.97,,-0.13333333333333333,2.2933333333333334,537.780016798956,,28.752933333333335,,,,17421.0,4.2323673764931575,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
175R0400MD2,54.71,,,,,,6.440892857142857,2.0,24.93357142857143,150.0,40.0,160.44984107142858,160.13442607351445,-322.93982764000845,0.6025,,-0.21428571428571427,2.1857142857142855,645.223777882781,,27.017857142857142,,2.95,,408592.21428571426,4.5209412365820905,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
176R0400MD2,0.0,,,,,,6.805357142857143,2.0,25.112142857142857,150.0,40.0,171.11155000000002,-211.4705735598193,-614.8934064338871,1.4060000000000001,,1.3857142857142857,1.1428571428571428,,,28.225,29.09166666666667,,,110955.14285714286,4.47649538305316,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
177R0400MD2,0.0,,,,,,6.777333333333334,2.0,24.872,150.0,40.0,168.37666,-224.8184378982516,-2007.6518377843963,,,6.42,2.8280000000000003,603.3004971799355,-470.6537919408067,27.9815,28.709333333333337,2.6625,,391792.8,5.4280379458148555,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
180S3200MD2,51.13,70.63,,,,,6.378571428571428,2.0,25.071428571428573,610.0,500.0,159.90237142857146,183.33456330896314,18.333456330896315,,,0.1,5.7057142857142855,,,26.425,,,,905345.8571428572,4.308544135927883,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
193R0300MD4,0.0,,,,,,6.7170000000000005,2.0,25.220999999999997,145.0,35.0,169.34976999999998,250.2084295049528,25.020842950495286,,,0.1,4.196,286.699079636623,,28.298000000000002,28.488999999999997,,,906299.0,5.111131817649503,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
193R0400MD4,0.0,,,,,,6.6868,2.0,25.5,150.0,40.0,170.42550200000002,227.9618748510251,-48.6631077547285,,,-0.296,3.3103999999999996,594.275585341928,-451.9538794102194,28.317933333333336,28.69356,2.852,,1020788.52,5.106979987121573,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
1R0300UD2,53.31,73.23,,,,,3.7851879999999998,2.0,25.1104,145.0,35.0,95.04448152,19.957912237498366,-1499.2150567676904,-0.16754317420555556,,3.18,4.254371381460395,806.8394187696364,-716.4985135313362,38.42058873142857,39.364374000000005,1.844266666666667,-1.30985,275466.98,4.5713479624600275,OptiMat,0/0/0/0,EP
25R0300UD2,50.8056392190724,71.9873847403209,,,,,3.839,2.0,24.673000000000002,145.0,35.0,94.71936000000001,225.0300210633283,-225.0300210633283,0.6120340473845409,,-1.0,2.9855,,-465.56568025912804,37.49882362887309,37.5319699791106,,-1.2,263853.5,5.050369936866277,OptiMat,0/0/0/0,EP
26R0300UD2,52.3204877981346,72.8373070788721,,,,,3.716666666666667,2.0,24.766666666666666,145.0,35.0,92.05055555555556,255.82863773863644,-255.82863773863644,0.6499999999999999,,-1.0,4.111111111111111,795.7033859473871,-444.808051687231,38.379485777777774,38.958450222222226,2.166666666666667,-1.12,198638.44444444444,4.11381238052047,OptiMat,0/0/0/0,EP
27R0300UD2,50.660793462465,71.9848678704096,,,,,3.8070833333333325,2.0,24.76666666666665,145.0,35.0,94.29032638888889,243.41316870530036,-243.41316870530036,0.6670253285714285,,-1.0,2.9425,811.3347353874573,-452.6301938431185,38.4412906875,38.82290175,2.2,-1.15,535057.875,4.795710329336285,OptiMat,0/0/0/0,EP
28R0300UD2,50.2880171304518,71.8575618588619,,,,,3.8191666666666677,2.0,24.751944444444433,145.0,35.0,94.53247500000002,206.0612198626868,-206.0612198626868,0.5443805422090906,,-1.0,3.50125,744.9344399021976,,38.511833333333335,38.768181818181816,2.132,,403911.5833333333,5.43892011654276,OptiMat,0/0/0/0,EP
30R0300UD2,49.4882548122008,71.9856803097052,,,,,3.8369999999999997,2.0,24.9162,145.0,35.0,95.60272979999999,141.979051188869,-1053.4124286535086,0.0979592518,,1.42,3.091,731.3891785180717,,38.56371428571428,38.870000000000005,2.089285714285714,,246267.8,4.359973501659014,OptiMat,0/0/0/0,EP
31R0400MD2,50.8395470145337,71.468683859349,,,,,6.6049999999999995,2.0,25.214,150.0,40.0,166.5378,175.4878075221675,-175.4878075221675,0.6831264500494119,,-1.0,2.041,,-486.2968161371674,26.913729551201907,26.30442688454112,,-1.987,263734.3,4.534809981093929,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
32R0400MD2,49.6934961300903,71.1596512963921,,,,,6.691666666666666,2.0,25.260555555555555,150.0,40.0,169.03543333333334,246.72616356671563,-76.51630914362397,0.9783626063393943,,-0.3888888888888889,2.7427777777777775,,,27.146119767323924,25.839892279539356,,,597274.7222222222,4.503277687791701,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
36R0400MD2,52.4202378011116,71.8250240837175,,,,,6.596875,2.0,25.3025,150.0,40.0,166.74326875,97.77260546446188,-768.7074141623801,0.4875,,2.1875,2.3525,582.8270966468011,-460.5627570834861,28.75,28.712776333333334,2.5,-2.733333333333333,394013.0,4.905370534349386,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
37R0400MD2,51.6370651725885,71.3767214312471,,,,,6.605,2.0,25.325,150.0,40.0,167.1065,164.403257276899,-65.76130291075961,,,-0.4,3.1,518.2483453335626,-447.3984883071042,27.46,27.88907598571429,2.229333333333333,-1.886142857142857,568162.0,5.75447218373013,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
38R0400MD2,52.8299375462749,72.1124008822064,,,,,6.6971428571428575,2.0,25.345714285714287,150.0,40.0,169.58952142857143,91.54610682578186,-858.6509290228945,0.583,,2.557142857142857,2.2357142857142853,528.143831048251,-465.0363068565113,26.893333333333334,28.74285714285714,2.285,-1.65,53662.857142857145,4.351272353431834,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
42R0300UD2,52.551600823122,72.1078169127419,,,,,3.757,2.0,24.85133333333333,145.0,35.0,93.36349333333332,237.0872760356337,-237.0872760356337,0.6527825218821557,,-1.0,5.0,,,37.2952717771545,37.137845245679685,,,175512.0,4.367804534166512,OptiMat,0/0/0/0,EP
43R0300UD2,50.8675038885926,72.2801124796882,,,,,3.6671578947368424,2.0,24.815,145.0,35.0,90.94821789473684,311.99978284755025,-238.45827199487084,0.8188454545454544,,-0.7684210526315789,3.9710526315789476,,,40.071636363636365,39.90657142857143,,,187712.7894736842,4.114626835754891,OptiMat,0/0/0/0,EP
44R0300UD2,50.8175623622701,71.6865026447593,,,,,3.6750588235294117,2.0,24.793176470588236,145.0,35.0,91.07872635294117,284.8507796298669,-137.35717381188823,0.752,,-0.6764705882352942,2.9735294117647055,,-546.011786693782,39.70147058823529,39.58716666666667,,,1701467.1176470588,5.208794754263649,OptiMat,0/0/0/0,EP
49R0300UD2,53.5391305886842,72.7683516256616,,,,,3.77166666666667,2.0,25.51166666666665,145.0,35.0,96.22222777777779,-312.3992486620965,-3123.992486620965,-1.1608118291345875,,10.0,3.865,838.8357223759523,,38.52065274990039,34.7137762076116,2.26875160235764,,124423.5,2.998992709897529,OptiMat,0/0/0/0,EP
4UDR0200UD2,,,,,,,3.8737500000000002,2.0,25.3,140.0,30.0,98.0060625,238.45243391046375,-238.45243391046375,0.6533333333333333,,-1.0,3.2,798.3889271288604,-483.9444467696906,36.93333333333333,36.41837645583333,,-1.2773,53422.25,4.205256547348043,OptiMat,0/0/0/0,EP
4UDR0300UD2,,,,,,,3.8449999999999998,2.0,25.03,145.0,35.0,96.24080000000001,252.93244683557552,-252.93244683557552,0.69,,-1.0,2.875,826.1838127301472,-480.7584311661122,37.1,36.590301096666664,,-1.2876,19559.0,3.8416854049067544,OptiMat,0/0/0/0,EP
4UDR0400UD2,,,,,,,3.891666666666667,2.0,25.03,150.0,40.0,97.40433333333333,292.388700441004,-292.388700441004,0.87,,-1.0,2.4,836.907996563507,-469.8765400092432,37.55,36.98164704111111,,-1.263533333333333,21031.333333333332,3.395762365715024,OptiMat,0/0/0/0,EP
